"table","model","term","scale","est_full","LCI_full","UCI_full","p_full","est_min","LCI_min","UCI_min","p_min","p_crosses_05","direction_change","sensitive"
"Table 1","all-cause CT","AFL-only-NoCOPD","HR",0.897,0.622,1.296,0.564,0.902,0.625,1.303,0.583,FALSE,FALSE,FALSE
"Table 1","all-cause ESI","AFL-only-NoCOPD","HR",0.913,0.571,1.46,0.705,0.974,0.609,1.556,0.911,FALSE,FALSE,FALSE
"Table 1","respiratory CT","AFL-only-NoCOPD","HR",1.653,0.662,4.13,0.282,1.664,0.666,4.156,0.276,FALSE,FALSE,FALSE
"Table 1","respiratory ESI","AFL-only-NoCOPD","HR",2.017,0.736,5.532,0.173,2.122,0.774,5.82,0.144,FALSE,FALSE,FALSE
"Table 1","all-cause CT","COPD-minor","HR",1.907,1.64,2.218,4.79e-17,2.085,1.797,2.421,4.52e-22,FALSE,FALSE,FALSE
"Table 1","all-cause ESI","COPD-minor","HR",1.943,1.625,2.324,3.26e-13,2.109,1.766,2.518,1.8e-16,FALSE,FALSE,FALSE
"Table 1","respiratory CT","COPD-minor","HR",3.092,2.012,4.751,2.59e-07,3.104,2.023,4.761,2.12e-07,FALSE,FALSE,FALSE
"Table 1","respiratory ESI","COPD-minor","HR",2.912,1.767,4.8,2.77e-05,2.888,1.754,4.754,3.04e-05,FALSE,FALSE,FALSE
"Table 1","all-cause CT","COPD-major","HR",2.591,2.351,2.855,2.91e-82,2.927,2.662,3.217,1.4e-109,FALSE,FALSE,FALSE
"Table 1","all-cause ESI","COPD-major","HR",2.395,2.184,2.626,8.8e-77,2.687,2.455,2.94,1.34e-102,FALSE,FALSE,FALSE
"Table 1","respiratory CT","COPD-major","HR",13.93,10.593,18.317,2.78e-79,16.231,12.369,21.297,6.69e-90,FALSE,FALSE,FALSE
"Table 1","respiratory ESI","COPD-major","HR",11.853,9.256,15.179,1.73e-85,13.817,10.811,17.658,9.88e-98,FALSE,FALSE,FALSE
"Table 1","exacerbations CT","AFL-only-NoCOPD","IRR",1.28,0.942,1.739,0.115,1.241,0.911,1.691,0.17,FALSE,FALSE,FALSE
"Table 1","exacerbations ESI","AFL-only-NoCOPD","IRR",0.969,0.629,1.492,0.885,0.902,0.583,1.397,0.645,FALSE,FALSE,FALSE
