"check","computed","expected","status"
"MD-COPD noCOPD n vs Bhatt 4,439","4439.000","4439.000","PASS"
"MD-COPD AFL-only-noCOPD n vs Bhatt 282","282.000","282.000","PASS"
"MD-COPD COPD-minor n vs Bhatt 811","811.000","811.000","PASS"
"MD-COPD COPD-major n vs Bhatt 3,884","3884.000","3884.000","PASS"
"analytic cohort n (with baseline ESI)","9240.000","9240.000","PASS"
"all-cause LR chi-square, MD-COPD over fixed ratio","122.125","122.100","PASS"
"respiratory LR chi-square, MD-COPD over fixed ratio","76.128","76.100","PASS"
"exacerbation LR chi-square, MD-COPD over fixed ratio","158.860","158.900","PASS"
"NoCT-MD-COPD count threshold","2.000","2.000","PASS"
"ESI-MD-COPD count threshold","2.000","2.000","PASS"
"ESI-MD-COPD T_low","1.500","1.500","PASS"
"MD-COPD AFL-only all-cause HR","0.868","0.870","PASS"
"NoCT-MD-COPD AFL-only respiratory HR (should be highly elevated)","6.373","6.370","PASS"
"ESI-MD-COPD AFL-only all-cause HR (should straddle 1)","0.959","0.960","PASS"
"MD-COPD all-cause C-index","0.703","0.703","PASS"
