"id","section","claim","expected","computed","artifact","status","error"
"COH-01","Cohort","analytic cohort n = 9,240","9240","9240","cohort.txt","PASS",""
"COH-02","Cohort","4,084 with airflow limitation","4084","4084","cohort.txt","PASS",""
"COH-03","Cohort","5,156 without airflow limitation","5156","5156","cohort.txt","PASS",""
"DISC2-01","Discordance","ESI misses only 70 of MD-COPD's COPD-minor","70","70","discord_counts.csv","PASS",""
"DISC2-02","Discordance","ESI adds 612 the CT framework does not call COPD","612","612","discord_counts.csv","PASS",""
"DISC2-03","Discordance","729 are called COPD by both","729","729","discord_counts.csv","PASS",""
"DISC2-04","Discordance","the two agree on 729 of MD-COPD's 799 COPD-minor, or 91.2%","TRUE","TRUE","discord_counts.csv","PASS",""
"DISC2-05","Discordance","the group ESI adds carries adjusted all-cause HR 1.59","1.59","1.59161140592078","discord_adjusted.csv","PASS",""
"DISC2-06","Discordance","and its interval excludes 1, so the addition is not noise","TRUE","TRUE","discord_adjusted.csv","PASS",""
"DISC2-07","Discordance","the group ESI adds has exacerbation IRR 1.82","1.82","1.82274552611885","discord_adjusted.csv","PASS",""
"DISC2-08","Discordance","CT-only-COPD has no respiratory deaths, so its HR is not estimable","TRUE","TRUE","discord_adjusted.csv","PASS",""
"DISC2-09","Discordance","prior exacerbation burden is 0.09 in the reference against 0.44 in ESI-only","TRUE","TRUE","discord_rates.csv","PASS",""
"PAIR-01","Paired comparison","AFL-only does not differ between the two classifications, all-cause","TRUE","TRUE","schema_diff_bootstrap.csv","PASS",""
"PAIR-02","Paired comparison","nor COPD-minor, on any of the three outcomes","TRUE","TRUE","schema_diff_bootstrap.csv","PASS",""
"PAIR-03","Paired comparison","COPD-major does differ, on all three","TRUE","TRUE","schema_diff_bootstrap.csv","PASS",""
"PAIR-04","Paired comparison","ESI-MD-COPD assigns 1.15x the all-cause effect in COPD-major","1.15","1.15150426041475","schema_diff_bootstrap.csv","PASS",""
"PAIR-05","Paired comparison","respiratory resamples run at B = 863 because events are sparse","863","863","schema_diff_bootstrap.csv","PASS",""
"CORR-01","ESI and CT","r(ESI, LAA-950) across all strata = 0.78","0.78","0.778","supp_esi_ct.csv","PASS",""
"CORR-02","ESI and CT","r(ESI, PRM emphysema) across all strata = 0.81","0.81","0.806","supp_esi_ct.csv","PASS",""
"CORR-03","ESI and CT","r(ESI, LAA-950) in GOLD 0 = 0.08","0.08","0.08","supp_esi_ct.csv","PASS",""
"CORR-04","ESI and CT","r(ESI, LAA-950) in GOLD 3 = 0.58","0.58","0.577","supp_esi_ct.csv","PASS",""
"CORR-05","ESI and CT","the correlation strengthens with obstruction, GOLD 0 below GOLD 3","TRUE","TRUE","supp_esi_ct.csv","PASS",""
"BASE-01","Cohort","baseline table totals the analytic cohort, 9,240","9240","9240","supp_baseline.csv","PASS",""
"BASE-02","Cohort","the cohort has no never-smoker stratum","TRUE","TRUE","supp_baseline.csv","PASS",""
"GATE-01","MD-COPD over fixed ratio","all-cause LR chi-square 122.1 on 2 df","122.1","122.124999446256","gate_fixedratio.csv","PASS",""
"GATE-02","MD-COPD over fixed ratio","respiratory LR chi-square 76.1","76.1","76.1276500678905","gate_fixedratio.csv","PASS",""
"GATE-03","MD-COPD over fixed ratio","exacerbation LR chi-square 158.9","158.9","158.860284125472","gate_fixedratio.csv","PASS",""
"GATE-04","MD-COPD over fixed ratio","all-cause C-index gain is only +0.010","0.01","0.0103042321118779","gate_fixedratio.csv","PASS",""
"GATE-05","MD-COPD over fixed ratio","C-index gain stays under 0.02","TRUE","TRUE","gate_fixedratio.csv","PASS",""
"FIT-01","Fitting","S3 rule is >= 2 of 3 symptom criteria","2","2","schema_fit.csv","PASS",""
"FIT-02a","Fitting","S4 rule is >= 2 of 4","2","2","schema_fit.csv","PASS",""
"FIT-02b","Fitting","S4 ESI threshold 1.50","1.5","1.5","schema_fit.csv","PASS",""
"FIT-03","Fitting","S4 second ESI threshold is inert, at or above 6.0","TRUE","TRUE","schema_fit.csv","PASS",""
"FIT-04a","Fitting","held-out macro-F1, S4 = 0.752","0.752","0.751833249731844","schema_fit.csv","PASS",""
"FIT-04b","Fitting","held-out macro-F1, S3 = 0.721","0.721","0.721181614170541","schema_fit.csv","PASS",""
"FIT-05a","Fitting","S4 beats S3 by +0.031 held out","0.031","0.0306516355613029","schema_fit_cv_diff.csv","PASS",""
"FIT-05b","Fitting","the S4 advantage excludes zero across folds","TRUE","TRUE","schema_fit_cv_diff.csv","PASS",""
"FIT-06","Fitting","the v15 draft rule scores 0.682 on the same folds","0.682","0.682178787636299","schema_fit.csv","PASS",""
"LAB-01a","Labels","S2 reference COPD-major n = 3,809","3809","3809","schema_labels.csv","PASS",""
"LAB-01b","Labels","S2 reference AFL-only n = 275","275","275","schema_labels.csv","PASS",""
"LAB-02","Labels","S3 calls only 2,976 COPD-major, losing 833","2976","2976","schema_labels.csv","PASS",""
