"schema","category","outcome","events","rate_100py","rr","lo","hi","method","few_events","B_eff"
"S2","AFL-only","all",50,1.65884590649968,1.09812522482865,0.80544112055095,1.46762867124496,"exact Poisson",FALSE,1000
"S2","COPD-minor","all",180,2.77932901261002,1.83986426037924,1.54741680947215,2.17900545695165,"exact Poisson",FALSE,1000
"S2","COPD-major","all",1684,5.18432570877046,3.43192746970774,3.119681485275,3.77975158092631,"exact Poisson",FALSE,1000
"S3","AFL-only","all",262,2.2943240740097,1.51879998602038,1.30720988881417,1.76091316098805,"exact Poisson",FALSE,1000
"S3","COPD-minor","all",240,2.41639709844902,1.5996100642095,1.37005333335878,1.86301123027423,"exact Poisson",FALSE,1000
"S3","COPD-major","all",1472,6.11367138675163,4.0471370727082,3.67229182296127,4.46497890627095,"exact Poisson",FALSE,1000
"S4","AFL-only","all",109,1.89577629104069,1.25496874523847,1.01298888580275,1.54267662962741,"exact Poisson",FALSE,1000
"S4","COPD-minor","all",252,2.45516941157077,1.62527661641735,1.39587438366021,1.88808815374375,"exact Poisson",FALSE,1000
"S4","COPD-major","all",1625,5.46272706514035,3.61622400433969,3.28570713083474,3.98446397728354,"exact Poisson",FALSE,1000
"S2","AFL-only","resp",2,0.0663538362599872,1.79778786807661,0.198307647381531,7.82753686485732,"exact Poisson",TRUE,864
"S2","COPD-minor","resp",8,0.123525733893779,3.34680070221366,1.21647532137206,8.54850291246785,"exact Poisson",TRUE,1000
"S2","COPD-major","resp",594,1.82867545784421,49.5460509604966,29.2958550006396,91.184468211527,"exact Poisson",FALSE,1000
"S3","AFL-only","resp",34,0.297736711894389,8.0668651383994,4.21667958226064,16.2715467433866,"exact Poisson",FALSE,1000
"S3","COPD-minor","resp",8,0.0805465699483008,2.18232515902868,0.793218639344678,5.57416310017181,"exact Poisson",TRUE,1000
"S3","COPD-major","resp",562,2.33415986369186,63.241622815214,37.3769846467082,116.430225669576,"exact Poisson",FALSE,1000
"S4","AFL-only","resp",4,0.0695697721482822,1.88492029101348,0.45178524586055,6.00185822496495,"exact Poisson",TRUE,984
"S4","COPD-minor","resp",9,0.0876846218418132,2.37572321736515,0.907072146498043,5.89287807880483,"exact Poisson",TRUE,1000
"S4","COPD-major","resp",592,1.99011349080805,53.9200457958722,31.8812808000371,99.236407522393,"exact Poisson",FALSE,1000
"S2","AFL-only","exac",362,13.7131600878854,1.15135809649753,0.888182830383608,1.46009155516644,"bootstrap",FALSE,1000
"S2","COPD-minor","exac",2041,41.0548336484692,3.4469673524254,2.90453440304729,4.1602301561456,"bootstrap",FALSE,1000
"S2","COPD-major","exac",15335,56.6435684524694,4.75579886286583,4.31857733124405,5.30220048003839,"bootstrap",FALSE,1000
"S3","AFL-only","exac",1915,19.4788021808121,1.63544190086167,1.38066565803216,1.89918703647,"bootstrap",FALSE,1000
"S3","COPD-minor","exac",2875,37.0332204088466,3.10931236008621,2.67380399935979,3.66428549241214,"bootstrap",FALSE,1000
"S3","COPD-major","exac",13782,69.3210739686345,5.8202033127434,5.31511886051755,6.46758884013772,"bootstrap",FALSE,1000
"S4","AFL-only","exac",652,13.1786392852811,1.10647968409071,0.893156325067318,1.33422271569505,"bootstrap",FALSE,1000
"S4","COPD-minor","exac",2925,36.4540492036191,3.06068509604763,2.63665391186735,3.59967905226222,"bootstrap",FALSE,1000
"S4","COPD-major","exac",15045,60.7505693473104,5.10062301005676,4.63789877662327,5.66679212438581,"bootstrap",FALSE,1000
