"schema","row_cat","col_cat","n"
"S3","noCOPD","noCOPD",3892
"S3","noCOPD","AFL-only",0
"S3","noCOPD","COPD-minor",90
"S3","noCOPD","COPD-major",0
"S3","AFL-only","noCOPD",0
"S3","AFL-only","AFL-only",275
"S3","AFL-only","COPD-minor",0
"S3","AFL-only","COPD-major",833
"S3","COPD-minor","noCOPD",465
"S3","COPD-minor","AFL-only",0
"S3","COPD-minor","COPD-minor",709
"S3","COPD-minor","COPD-major",0
"S3","COPD-major","noCOPD",0
"S3","COPD-major","AFL-only",0
"S3","COPD-major","COPD-minor",0
"S3","COPD-major","COPD-major",2976
"S4","noCOPD","noCOPD",3856
"S4","noCOPD","AFL-only",0
"S4","noCOPD","COPD-minor",85
"S4","noCOPD","COPD-major",0
"S4","AFL-only","noCOPD",0
"S4","AFL-only","AFL-only",193
"S4","AFL-only","COPD-minor",0
"S4","AFL-only","COPD-major",350
"S4","COPD-minor","noCOPD",501
"S4","COPD-minor","AFL-only",0
"S4","COPD-minor","COPD-minor",714
"S4","COPD-minor","COPD-major",0
"S4","COPD-major","noCOPD",0
"S4","COPD-major","AFL-only",82
"S4","COPD-major","COPD-minor",0
"S4","COPD-major","COPD-major",3459
