"schema","category","type","outcome","events","events_mdcopd","est","est_mdcopd","ratio_of_ratios","lo","hi","p_boot","B_eff","few_events"
"S3","AFL-only","crude","all",262,50,1.56613474882404,1.1323492816659,1.38308450774125,1.09149533985979,1.77820393493651,0.004,500,FALSE
"S3","AFL-only","crude","resp",34,2,9.9956566862836,2.22763985956818,4.48710622740482,NA,NA,NA,431,TRUE
"S3","AFL-only","crude","exac",1915,362,1.74594500945644,1.22915275780693,1.42044591151679,1.14300750224821,1.8040472188855,0,500,FALSE
"S3","AFL-only","adjusted","all",262,50,1.14018182959802,0.939161868694266,1.21404186818534,0.974447937221533,1.55374462702163,0.088,500,FALSE
"S3","AFL-only","adjusted","resp",34,2,6.80153866132234,1.83741164097705,3.70169564056186,NA,NA,NA,500,TRUE
"S3","AFL-only","adjusted","exac",1915,362,1.80655693698335,1.36431795348401,1.32414656889181,1.05354147729511,1.7039818267975,0.004,500,FALSE
"S3","COPD-minor","crude","all",284,180,1.75125951100412,1.89720527905028,0.923073285923377,0.839422055030215,1.01800909534666,0.112,500,FALSE
"S3","COPD-minor","crude","resp",12,8,3.63930113490357,4.1470224483483,0.877569673237013,NA,NA,NA,500,TRUE
"S3","COPD-minor","crude","exac",3270,2041,3.36726445763126,3.6798711366974,0.915049558135696,0.8398362168143,1.01175703902578,0.064,500,FALSE
"S3","COPD-minor","adjusted","all",284,180,2.00574921729893,2.02360803563639,0.991174764073398,0.892658773944829,1.09645373699662,0.9,500,FALSE
"S3","COPD-minor","adjusted","resp",12,8,5.19378675397937,5.11687527583337,1.01503094642726,NA,NA,NA,500,TRUE
"S3","COPD-minor","adjusted","exac",3270,2041,2.43724163305116,2.47303700299141,0.98552574429863,0.894236760056511,1.10013484295142,0.768,500,FALSE
"S3","COPD-major","crude","all",1472,1684,4.17326972686531,3.53888656519973,1.1792606657427,1.15284760579568,1.20521416390755,0,500,FALSE
"S3","COPD-major","crude","resp",562,594,78.3627269204288,61.3925368858342,1.27642105857512,1.24133113300458,1.30904530805161,0,500,FALSE
"S3","COPD-major","crude","exac",13782,15335,6.21346128074144,5.07713743069954,1.22381191479493,1.19513474126559,1.25224872097146,0,500,FALSE
"S3","COPD-major","adjusted","all",1472,1684,3.38379416939584,2.75308313324985,1.22909262293198,1.19414281228,1.26463167871092,0,500,FALSE
"S3","COPD-major","adjusted","resp",562,594,52.7911345484107,40.8674607642465,1.29176448845082,1.24939521661021,1.3382294746933,0,500,FALSE
"S3","COPD-major","adjusted","exac",13782,15335,4.9292888702119,4.16578781312894,1.18327891177671,1.14413536295418,1.22358537617019,0,500,FALSE
"S4","AFL-only","crude","all",109,50,1.29408097096183,1.1323492816659,1.14282844694174,0.919234652004549,1.45201811412659,0.252,500,FALSE
"S4","AFL-only","crude","resp",4,2,2.33560568904204,2.22763985956818,1.04846646508416,NA,NA,NA,431,TRUE
"S4","AFL-only","crude","exac",652,362,1.18124201262379,1.22915275780693,0.961021325560363,0.773380013665094,1.19180236675655,0.712,500,FALSE
"S4","AFL-only","adjusted","all",109,50,0.964897006071361,0.939161868694266,1.02740223835203,0.828734958536757,1.30470709256027,0.78,500,FALSE
"S4","AFL-only","adjusted","resp",4,2,1.74574061882913,1.83741164097705,0.950108609250367,NA,NA,NA,500,TRUE
"S4","AFL-only","adjusted","exac",652,362,1.25278442356117,1.36431795348401,0.918249606231436,0.730809981784385,1.15308251112015,0.424,500,FALSE
"S4","COPD-minor","crude","all",294,180,1.76347029151435,1.89720527905028,0.929509479541993,0.840956263983735,1.0270611100695,0.136,500,FALSE
"S4","COPD-minor","crude","resp",13,8,3.83502985782945,4.1470224483483,0.924767084238208,NA,NA,NA,500,TRUE
"S4","COPD-minor","crude","exac",3314,2041,3.3194839684217,3.6798711366974,0.902065274872874,0.827183163257415,0.996599393809095,0.04,500,FALSE
"S4","COPD-minor","adjusted","all",294,180,1.96724516456159,2.02360803563639,0.972147337783686,0.877603079865646,1.07302848620057,0.612,500,FALSE
"S4","COPD-minor","adjusted","resp",13,8,5.28306948428352,5.11687527583337,1.03247962858017,NA,NA,NA,500,TRUE
"S4","COPD-minor","adjusted","exac",3314,2041,2.36195813596572,2.47303700299141,0.955084025475022,0.863605281215796,1.06480502923555,0.384,500,FALSE
"S4","COPD-major","crude","all",1625,1684,3.72892686651105,3.53888656519973,1.05370059136117,1.03815880922251,1.06849745046895,0,500,FALSE
"S4","COPD-major","crude","resp",592,594,66.8123561058029,61.3925368858342,1.08828140185911,1.07074399227215,1.10395808984104,0,500,FALSE
"S4","COPD-major","crude","exac",15045,15335,5.44526056525472,5.07713743069954,1.07250604096893,1.05830451507392,1.0889533323403,0,500,FALSE
"S4","COPD-major","adjusted","all",1625,1684,2.9416972750791,2.75308313324985,1.06851015123783,1.04831923326962,1.08890029074782,0,500,FALSE
"S4","COPD-major","adjusted","resp",592,594,44.0751530143759,40.8674607642465,1.07849012858014,1.05800413999271,1.09782706260379,0,500,FALSE
"S4","COPD-major","adjusted","exac",15045,15335,4.4915995413101,4.16578781312894,1.07821131147255,1.05450287187948,1.10302552105786,0,500,FALSE
