"schema","parameter","label","n_noCOPD","n_aflonly","n_minor","n_major","macroF1","bal_acc","kappa","selected"
"reference",NA,"MD-COPD (reference)",4357,275,799,3809,1,1,1,FALSE
"S3","1",">= 1 of 3 symptom criteria",3234,1108,1922,2976,0.674072055497088,0.8742254577417,0.683260513051723,FALSE
"S3","2",">= 2 of 3 symptom criteria",3982,1108,1174,2976,0.731765778053777,0.890485454530203,0.768707201313709,TRUE
"S3","3",">= 3 of 3 symptom criteria",4849,1108,307,2976,0.6941564180102,0.791384429407855,0.766198484367305,FALSE
"S4","0.75","ESI >= 0.75",3363,3,1793,4081,0.613562784787088,0.688287214966295,0.775477157368717,FALSE
"S4","1.00","ESI >= 1.00",3721,83,1435,4001,0.681061701981665,0.720094631401467,0.817848220649919,FALSE
"S4","1.25","ESI >= 1.25",3899,307,1257,3777,0.749508726546093,0.792495372602126,0.832712127550558,FALSE
"S4","1.50","ESI >= 1.50",3941,543,1215,3541,0.762881111703828,0.847140047977432,0.824505301267094,TRUE
"S4","1.75","ESI >= 1.75",3964,702,1192,3382,0.76115046464916,0.87321215071556,0.814102920182113,FALSE
"S4","2.00","ESI >= 2.00",3971,798,1185,3286,0.75799409263395,0.885832710601248,0.806513719682533,FALSE
"S4","2.50","ESI >= 2.50",3976,894,1180,3190,0.749825322162593,0.88859126328833,0.795322610041,FALSE
"S4","3.00","ESI >= 3.00",3978,954,1178,3130,0.74517292693894,0.890616329271156,0.788347032846786,FALSE
"S4","4.00","ESI >= 4.00",3981,1018,1175,3066,0.739481044980638,0.890486788218186,0.780292137797815,FALSE
