"schema","category","outcome","events","rr","lo","hi","method","few_events","B_eff"
"S1","noCOPD","all",847,1,0.908077378184598,1.10122774118564,"exact Poisson",FALSE,1000
"S1","COPD","all",1734,2.81871987897101,2.59487176591798,3.06370635572046,"exact Poisson",FALSE,1000
"S2","noCOPD","all",667,1,0.896882165022633,1.11497367101147,"exact Poisson",FALSE,1000
"S2","COPD-major","all",1684,3.29536289596518,3.01092425197235,3.60991301474073,"exact Poisson",FALSE,1000
"S2","COPD-minor","all",180,1.76665167629037,1.49007689585018,2.08583353633579,"exact Poisson",FALSE,1000
"S2","AFL-only","all",50,1.05442820483963,0.774660758677269,1.40656182802708,"exact Poisson",FALSE,1000
"S3","noCOPD","all",563,1,0.888160549081236,1.1259225609992,"exact Poisson",FALSE,1000
"S3","COPD-major","all",1472,4.10513868912889,3.72263146927381,4.53189605536914,"exact Poisson",FALSE,1000
"S3","AFL-only","all",262,1.54056669483856,1.3254048027961,1.78693238044727,"exact Poisson",FALSE,1000
"S3","COPD-minor","all",284,1.72266918839392,1.48835420305483,1.990332541876,"exact Poisson",FALSE,1000
"S4","noCOPD","all",553,1,0.887198429530238,1.12714356418495,"exact Poisson",FALSE,1000
"S4","COPD-major","all",1625,3.7037142509653,3.36094804371321,4.08628682728578,"exact Poisson",FALSE,1000
"S4","COPD-minor","all",294,1.75154683469207,1.51528298086751,2.02136865006025,"exact Poisson",FALSE,1000
"S4","AFL-only","all",109,1.28533122413817,1.03688350354245,1.5810358842268,"exact Poisson",FALSE,1000
"S1","noCOPD","resp",24,1,0.543809366674679,1.83887969071748,"exact Poisson",FALSE,1000
"S1","COPD","resp",596,34.1917440297749,22.7566236894694,53.7926654377011,"exact Poisson",FALSE,1000
"S2","noCOPD","resp",16,1,0.468159218190579,2.13602543994534,"exact Poisson",FALSE,1000
"S2","COPD-major","resp",594,48.456657833121,29.5904995932417,85.3340216291881,"exact Poisson",FALSE,1000
"S2","COPD-minor","resp",8,3.27321296690466,1.2127819233693,8.1060211369697,"exact Poisson",TRUE,1000
"S2","AFL-only","resp",2,1.75825903157008,0.196122516111177,7.4785939988762,"exact Poisson",TRUE,864
"S3","noCOPD","resp",12,1,0.410918380274882,2.43357330312422,"exact Poisson",FALSE,1000
"S3","COPD-major","resp",562,73.5332038084531,41.7628737923932,143.167508767075,"exact Poisson",FALSE,1000
"S3","AFL-only","resp",34,9.379620761005,4.73793533749693,19.8933609639584,"exact Poisson",FALSE,1000
"S3","COPD-minor","resp",12,3.41500969389357,1.40329025203777,8.31067642096983,"exact Poisson",FALSE,1000
"S4","noCOPD","resp",11,1,0.393166142957291,2.54345400262156,"exact Poisson",FALSE,1000
"S4","COPD-major","resp",592,67.8325682027422,37.6344817322251,136.6286929903,"exact Poisson",FALSE,1000
"S4","COPD-minor","resp",13,3.89359004162068,1.6095854566318,9.5985228001955,"exact Poisson",FALSE,1000
"S4","AFL-only","resp",4,2.37126994811812,0.550682235402785,8.00248075723673,"exact Poisson",TRUE,984
"S1","noCOPD","exac",6810,1,1,1,"bootstrap",FALSE,1000
"S1","COPD","exac",15697,3.0939588314299,2.8050894408082,3.39661054378162,"bootstrap",FALSE,1000
"S2","noCOPD","exac",4769,1,1,1,"bootstrap",FALSE,1000
"S2","COPD-major","exac",15335,4.14658476760647,3.75961173944997,4.54922154047995,"bootstrap",FALSE,1000
"S2","COPD-minor","exac",2041,3.00541354463233,2.51726456216286,3.60951150732471,"bootstrap",FALSE,1000
"S2","AFL-only","exac",362,1.00387002954959,0.769338844860421,1.25460019859063,"bootstrap",FALSE,1000
"S3","noCOPD","exac",3540,1,1,1,"bootstrap",FALSE,1000
"S3","COPD-major","exac",13782,6.105424216451,5.53779616295118,6.77791997144306,"bootstrap",FALSE,1000
"S3","AFL-only","exac",1915,1.71558724834527,1.42523077431503,1.97733635563792,"bootstrap",FALSE,1000
"S3","COPD-minor","exac",3270,3.30871587251019,2.86107888503245,3.80798198931459,"bootstrap",FALSE,1000
"S4","noCOPD","exac",3496,1,1,1,"bootstrap",FALSE,1000
"S4","COPD-major","exac",15045,5.37550439748423,4.899056834015,5.98627824873376,"bootstrap",FALSE,1000
"S4","COPD-minor","exac",3314,3.27695992795793,2.82921512460118,3.80249179415211,"bootstrap",FALSE,1000
"S4","AFL-only","exac",652,1.16610978616324,0.936575220207648,1.41289408364107,"bootstrap",FALSE,1000
