"schema","category","n_mort","n_exac","n_cohort","deaths","resp_deaths","all_few_events","resp_few_events","all_HR","all_LCI","all_UCI","resp_HR","resp_LCI","resp_UCI","exac_IRR","exac_LCI","exac_UCI"
"S1","noCOPD",5156,4503,5156,847,24,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S1","COPD",4082,3674,4084,1734,596,FALSE,FALSE,2.16644761666067,1.9837595900566,2.36595971571374,21.3061678855156,14.0917864630566,32.2139986406883,3.00180096203621,2.74194401674522,3.28628482589431
"S2","noCOPD",4357,3835,4357,667,16,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S2","AFL-only",275,255,275,50,2,FALSE,TRUE,0.867600183260154,0.650048546832684,1.15795978878913,1.38642953294094,0.318469737528234,6.03569703272171,1.21181476324494,0.954944504717494,1.53778048165514
"S2","COPD-minor",799,668,799,180,8,FALSE,TRUE,1.83094157522655,1.54908405236645,2.16408337996372,3.86035325513273,1.64773263846405,9.0441415715994,2.08748683947009,1.78577389576979,2.44017527374729
"S2","COPD-major",3807,3419,3809,1684,594,FALSE,FALSE,2.54070547194037,2.30994844691548,2.79451444198569,30.797372813087,18.660398646731,50.8283981572083,3.69415349895422,3.35888005352916,4.06289294537241
"S3","noCOPD",3982,3517,3982,607,16,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S3","AFL-only",1108,1016,1108,262,34,FALSE,FALSE,1.07515872724456,0.927431528903764,1.2464168542302,4.90428304154968,2.69932743735394,8.91036478894505,1.67983234944119,1.47296097087836,1.91575797188054
"S3","COPD-minor",1174,986,1174,240,8,FALSE,TRUE,1.79135827360135,1.5367795618803,2.0881098005193,2.825307268174,1.20517162326904,6.62342276027428,2.14395624731641,1.87268795049676,2.45451912540355
"S3","COPD-major",2974,2658,2976,1472,562,FALSE,FALSE,3.18212064113975,2.88111677612265,3.5145718003124,38.033758327235,23.0465072565737,62.767288612981,4.52304574326668,4.08567307725271,5.00723929909712
"S4","noCOPD",3941,3483,3941,595,15,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S4","AFL-only",543,501,543,109,4,FALSE,TRUE,0.919510751694329,0.748271159004737,1.12993800750794,1.3355560298842,0.442660901189524,4.02951763791841,1.16600670948627,0.975203616927396,1.39414130851015
"S4","COPD-minor",1215,1020,1215,252,9,FALSE,TRUE,1.79800444339512,1.54549081263165,2.09177560425854,3.13707945336436,1.36808587596436,7.19345742078051,2.08461355149,1.8221459260149,2.38488783857161
"S4","COPD-major",3539,3173,3541,1625,592,FALSE,FALSE,2.8000648537225,2.5372064684788,3.09015576085644,33.7003028452408,20.1109913742648,56.4721246568812,4.15006076348015,3.76464896590394,4.57492969372829
