"variant","n_COPD","sens","spec","kappa","test_n_COPD","test_sens","test_spec","test_kappa"
"4-crit, ESI cutoff 1.0, threshold >=2-of-4",5572,0.974348777092861,0.846329750743197,0.827379181160035,1119,0.974509803921569,0.854651162790698,0.836715442665194
"4-crit, ESI cutoff 1.5, threshold >=2-of-4",4912,0.891827401073772,0.902355362451406,0.79279931864419,991,0.897058823529412,0.911627906976744,0.806553574677097
"4-crit, ESI cutoff 2.0, threshold >=2-of-4",4624,0.847086896003182,0.916761948319232,0.759262572974578,939,0.850980392156863,0.917441860465116,0.762787434365381
"4-crit, ESI cutoff 2.5, threshold >=2-of-4",4521,0.828991847285743,0.919506059913103,0.742869455481999,908,0.824509803921569,0.922093023255814,0.739053895459059
"4-crit, ESI cutoff 1.5, threshold >=3-of-4",3954,0.77351362099821,0.985364738166019,0.746903085455307,802,0.781372549019608,0.994186046511628,0.76043995350085
"4-crit, ESI cutoff 2.0, threshold >=3-of-4",3669,0.725591568900378,0.995426480676881,0.706683741350627,750,0.733333333333333,0.997674418604651,0.713440142412105
"5-crit, T_low=0.5 / T_high=2.0",5408,0.974547623782064,0.88406128515893,0.863489913458348,1094,0.979411764705882,0.88953488372093,0.874850794233771
"5-crit, T_low=1.0 / T_high=2.5 [SELECTED]",4671,0.880493139789223,0.944431740224102,0.820543636029839,950,0.883333333333333,0.943023255813954,0.821114635251473
"5-crit, T_low=1.5 / T_high=3.0",3957,0.77351362099821,0.984678710267551,0.746260746949674,803,0.781372549019608,0.993023255813953,0.759367733857986
"5-crit, T_low=2.0 / T_high=3.5",3671,0.725591568900378,0.994969128744569,0.706256130154327,751,0.733333333333333,0.996511627906977,0.712368702154175
