"cause","n_events","ESI_alone_HR","ESI_alone_LCI","ESI_alone_UCI","ESI_alone_p","ESI_FF_HR","ESI_FF_LCI","ESI_FF_UCI","ESI_FF_p","FF_HR","FF_LCI","FF_UCI","FF_p","LR_chisq","LR_p"
"CVD (all)",615,1.02861201972093,0.971626935211468,1.08893923045073,0.331982114123811,1.02237333673747,0.930720128211169,1.12305214853433,0.644272363270189,0.984762697275411,0.81576804418592,1.18876631274873,0.873001879015945,0.212269782801741,0.644994158712504
"Cancer (all)",501,1.04742503601507,0.980630895061124,1.11876875549877,0.168143847736972,1.04963712196265,0.943054026867411,1.16826614002353,0.375215238239713,1.00520422925143,0.816659263955687,1.23727922660263,0.960937815671063,0.778284274369071,0.377666383795123
"Other (all)",680,1.01187642447748,0.955588677805638,1.07147972992371,0.685986342719029,1.03101339379855,0.942641812004183,1.1276697093798,0.504123711166839,1.04865768928301,0.87997351398679,1.24967732757113,0.595434816267594,0.443516794877723,0.505429914159078
"Other cardiac",465,1.02773629814138,0.964593085801668,1.0950129272796,0.397736569491838,0.968416938379785,0.86937137034524,1.07874655012903,0.559899289036541,0.859510486267354,0.689136044362239,1.07200643769435,0.179239729740137,0.341773758763338,0.558807159786887
"Myocardial infarction",103,1.02532233831544,0.881587011295929,1.19249249816335,0.745555177801291,1.08139323231837,0.859792997083456,1.36010798746998,0.503615993525344,1.14286923669419,0.737783997396013,1.77036923651365,0.549801729435505,0.438999322046584,0.507605835810158
"Lung cancer",223,1.08042872062383,0.988143200707022,1.18133304921152,0.0894827409681897,0.935024833585541,0.796332365213528,1.09787254369253,0.412150824475916,0.699758923263009,0.505225591953668,0.96919585722631,0.0316953878583221,0.679597159002697,0.409725475472735
"Other cancer",289,1.02722812728675,0.933823141711865,1.12997587910991,0.580738941758293,1.15145124918097,0.999968139296097,1.32588222278132,0.0500517712079087,1.32136114004924,1.01712805958787,1.71659334925799,0.0368731374218044,3.68293550122871,0.0549719863579003
"Other disease",417,1.03202653895014,0.955892623130626,1.11422428767071,0.420095458524182,1.08357087990737,0.966541183863692,1.21477063924966,0.168705381151683,1.13219253609039,0.909916547134636,1.40876648832844,0.265539779605468,1.8574601764567,0.172918218714924
"Accident/suicide",153,1.16541162567157,0.998967124083994,1.35958854351273,0.0515562060760882,1.08725691043019,0.87791788616216,1.34651270683857,0.443260026361524,0.840880927026458,0.589226562399562,1.20001503421259,0.339525873367872,0.572223599505833,0.449376667690496
"Sepsis",151,1.0529215844906,0.94255752322064,1.17620817379723,0.361341907610618,0.929355468149688,0.768899770493184,1.12329541420689,0.448670520522716,0.72623250821771,0.491650227915822,1.07274160784583,0.108016030763006,0.579934465712086,0.446338009425556
"Renal failure",139,0.928707129783038,0.8214596880369,1.04995649265641,0.237468838584112,0.904897758593933,0.73968894121741,1.10700580727981,0.331252784366202,0.93725160696144,0.62940522251203,1.39566775637139,0.749737475345783,0.959522740673492,0.327307152226539
