"descriptor","group1","group2","n1","n2","test","statistic","p_value","sig"
"ESI","Bhatt-only","Both",546,553,"Wilcoxon rank-sum",81777.5,1.63638359367281e-39,"***"
"ESI","Both","ESI-only",553,95,"Wilcoxon rank-sum",15372,1.0182424583315e-10,"***"
"ESI","Bhatt-only","ESI-only",546,95,"Wilcoxon rank-sum",2500.5,5.87832174811466e-45,"***"
"LAA950","Bhatt-only","Both",545,551,"Wilcoxon rank-sum",141311,0.0917125239529731,"ns"
"LAA950","Both","ESI-only",551,95,"Wilcoxon rank-sum",25268,0.590502607446003,"ns"
"LAA950","Bhatt-only","ESI-only",545,95,"Wilcoxon rank-sum",23410,0.136367437323901,"ns"
"emph","Bhatt-only","Both",546,553,"Chi-square (2x2)",107.546544348741,3.37876573314763e-25,"***"
"emph","Both","ESI-only",553,95,"Chi-square (2x2)",139.150090415913,4.08388245842156e-32,"***"
"emph","Bhatt-only","ESI-only",546,95,"Chi-square (2x2)",384.931000712251,1.05056481424978e-85,"***"
"wall","Bhatt-only","Both",546,553,"Chi-square (2x2)",12.0260487236141,0.000524621722841995,"***"
"wall","Both","ESI-only",553,95,"Chi-square (2x2)",55.6600361663653,8.6151976105308e-14,"***"
"wall","Bhatt-only","ESI-only",546,95,"Chi-square (2x2)",81.1668789431593,2.07439646442726e-19,"***"
"mMRC2p","Bhatt-only","Both",546,553,"Chi-square (2x2)",71.752412534428,2.4396548297974e-17,"***"
"mMRC2p","Both","ESI-only",553,95,"Chi-square (2x2)",6.3745705612704,0.0115767052025282,"*"
"mMRC2p","Bhatt-only","ESI-only",546,95,"Chi-square (2x2)",5.58204157274987,0.0181455578262087,"*"
"SGRQ25p","Bhatt-only","Both",546,553,"Chi-square (2x2)",52.1205994671249,5.21945037391883e-13,"***"
"SGRQ25p","Both","ESI-only",553,95,"Chi-square (2x2)",8.48131514707539,0.00358812613950937,"**"
"SGRQ25p","Bhatt-only","ESI-only",546,95,"Chi-square (2x2)",3.51387474033135,0.0608569696835235,"ns"
"CB","Bhatt-only","Both",546,553,"Chi-square (2x2)",343.288040257228,1.22688515707884e-76,"***"
"CB","Both","ESI-only",553,95,"Chi-square (2x2)",108.896054047591,1.7102350754622e-25,"***"
"CB","Bhatt-only","ESI-only",546,95,"Chi-square (2x2)",0.00644495848064017,0.936014167883968,"ns"
