"framework","group","n","person_years","exacerbations","rate_per_py","prior_mean","prior_any_pct"
"CT-based category","AFL-only-NoCOPD",158,1647.9,234,0.14199890770071,0.107594936708861,7.59493670886076
"CT-based category","COPD-major",3545,28352.5999999998,15674,0.552824079625859,0.660648801128349,34.950634696756
"CT-based category","COPD-minor",918,6987.80000000002,2670,0.382094507570336,0.480392156862745,26.5795206971678
"CT-based category","noCOPD",3717,34264.3999999998,4243,0.1238311483639,0.110304008609093,7.66747376916868
"ESI-based category","AFL-only-NoCOPD",81,815.2,108,0.132482826300294,0.197530864197531,12.3456790123457
"ESI-based category","COPD-major",3622,29185.2999999998,15800,0.541368428626745,0.646880176697958,34.2628382109332
"ESI-based category","COPD-minor",542,4100.90000000001,1812,0.441854227120875,0.592250922509225,32.6568265682657
"ESI-based category","noCOPD",4093,37151.2999999999,5101,0.137303405264419,0.129489372098705,8.600048863914
"Cross-classification group","Both-COPD",464,3437.70000000001,1704,0.495680251330831,0.648706896551724,34.698275862069
"Cross-classification group","Both-noCOPD",3639,33601.1999999997,4135,0.123061081151865,0.10717230008244,7.39214069799395
"Cross-classification group","CT-only-COPD",454,3550.10000000001,966,0.272105011126447,0.308370044052864,18.2819383259912
"Cross-classification group","ESI-only-COPD",78,663.2,108,0.162846803377563,0.256410256410256,20.5128205128205
