"id","location","claim","expected","artifact","field","tolerance","computed","status","note"
"COH-01","Results P1; Figure 1 legend","analytic cohort of 9,402 participants","9402","Table_Agreement_stats.txt","as.numeric(x[[""n_cohort""]])",0,"9402","PASS",""
"COH-02","Results P1","106 never-smokers","106","Table_S2_stratum_counts.csv","x$n[x$stratum == ""Never""]",0,"106","PASS",""
"COH-03","Results P1","4,054 smokers without obstruction","4054","Table_S2_stratum_counts.csv","x$n[x$stratum == ""GOLD0""]",0,"4054","PASS",""
"COH-04","Results P1","1,129 with PRISm","1129","Table_S2_stratum_counts.csv","x$n[x$stratum == ""PRISm""]",0,"1129","PASS",""
"COH-05","Results P1","4,113 with GOLD 1-4 obstruction","4113","Table_S2_stratum_counts.csv","sum(x$n[x$stratum %in% c(""GOLD1"",""GOLD2"",""GOLD3"",""GOLD4"")])",0,"4113","PASS",""
"COH-06","Results P1","mean ESI 0.83 in never-smokers","0.83","Table_S2_stratum_counts.csv","x$ESI_mean[x$stratum == ""Never""]",0.005,"0.82622641509434","PASS",""
"COH-07","Results P1","mean ESI 8.30 in GOLD 4","8.3","Table_S2_stratum_counts.csv","x$ESI_mean[x$stratum == ""GOLD4""]",0.005,"8.29817325800377","PASS",""
"COR-01","Results P2","r = 0.78 with %LAA-950HU, whole cohort","0.78","Table_2.csv","x$r_LAA[x$stratum == ""All strata""]",0.005,"0.778719355532168","PASS",""
"COR-02","Results P2","r = 0.81 with PRM emphysema, whole cohort","0.81","Table_2_PRMversion.csv","x$r_PRM[x$stratum == ""All strata""]",0.005,"0.806070243817398","PASS",""
"COR-03","Results P2","r = 0.08 in GOLD 0","0.08","Table_2.csv","x$r_LAA[x$stratum == ""GOLD0""]",0.005,"0.0798043179441117","PASS",""
"COR-04","Results P2","r = 0.58 in GOLD 3","0.58","Table_2.csv","x$r_LAA[x$stratum == ""GOLD3""]",0.005,"0.576508349657533","PASS",""
"AGR-01","Abstract; Results P3; Figure 1 legend","91% overall agreement","0.91","Table_Agreement_stats.txt","as.numeric(x[[""agreement""]])",0.005,"0.9102","PASS",""
"AGR-02","Abstract; Results P3; Figure 1 legend","kappa = 0.82","0.82","Table_Agreement_stats.txt","as.numeric(x[[""kappa""]])",0.005,"0.8205","PASS",""
"AGR-03","Abstract; Results P3; Figure 1 legend","88% sensitivity","0.88","Table_Agreement_stats.txt","as.numeric(x[[""sensitivity""]])",0.005,"0.8805","PASS",""
"AGR-04","Abstract; Results P3; Figure 1 legend","94% specificity","0.94","Table_Agreement_stats.txt","as.numeric(x[[""specificity""]])",0.005,"0.9444","PASS",""
"T1-all-cause-COPD-minor-CT-est","Table 1","all-cause, COPD-minor, CT-based est","1.91","Table_8_allcause.csv","x[[""bhatt_HR""]][x$group == ""COPD-minor""]",0.005,"1.90733132531712","PASS",""
"T1-all-cause-COPD-minor-CT-lo","Table 1","all-cause, COPD-minor, CT-based lo","1.64","Table_8_allcause.csv","x[[""bhatt_LCI""]][x$group == ""COPD-minor""]",0.005,"1.6403236753726","PASS",""
"T1-all-cause-COPD-minor-CT-hi","Table 1","all-cause, COPD-minor, CT-based hi","2.22","Table_8_allcause.csv","x[[""bhatt_UCI""]][x$group == ""COPD-minor""]",0.005,"2.21780179067987","PASS",""
"T1-all-cause-COPD-minor-ESI-est","Table 1","all-cause, COPD-minor, ESI-based est","1.94","Table_8_allcause.csv","x[[""esi_HR""]][x$group == ""COPD-minor""]",0.005,"1.94348500668499","PASS",""
"T1-all-cause-COPD-minor-ESI-lo","Table 1","all-cause, COPD-minor, ESI-based lo","1.63","Table_8_allcause.csv","x[[""esi_LCI""]][x$group == ""COPD-minor""]",0.005,"1.62525215016161","PASS",""
"T1-all-cause-COPD-minor-ESI-hi","Table 1","all-cause, COPD-minor, ESI-based hi","2.32","Table_8_allcause.csv","x[[""esi_UCI""]][x$group == ""COPD-minor""]",0.005,"2.32402951802512","PASS",""
"T1-all-cause-COPD-major-CT-est","Table 1","all-cause, COPD-major, CT-based est","2.59","Table_8_allcause.csv","x[[""bhatt_HR""]][x$group == ""COPD-major""]",0.005,"2.59118188534158","PASS",""
"T1-all-cause-COPD-major-CT-lo","Table 1","all-cause, COPD-major, CT-based lo","2.35","Table_8_allcause.csv","x[[""bhatt_LCI""]][x$group == ""COPD-major""]",0.005,"2.35133585221188","PASS",""
"T1-all-cause-COPD-major-CT-hi","Table 1","all-cause, COPD-major, CT-based hi","2.86","Table_8_allcause.csv","x[[""bhatt_UCI""]][x$group == ""COPD-major""]",0.005,"2.85549321106399","PASS",""
"T1-all-cause-COPD-major-ESI-est","Table 1","all-cause, COPD-major, ESI-based est","2.39","Table_8_allcause.csv","x[[""esi_HR""]][x$group == ""COPD-major""]",0.005,"2.39461796503384","PASS",""
"T1-all-cause-COPD-major-ESI-lo","Table 1","all-cause, COPD-major, ESI-based lo","2.18","Table_8_allcause.csv","x[[""esi_LCI""]][x$group == ""COPD-major""]",0.005,"2.18352330611971","PASS",""
"T1-all-cause-COPD-major-ESI-hi","Table 1","all-cause, COPD-major, ESI-based hi","2.63","Table_8_allcause.csv","x[[""esi_UCI""]][x$group == ""COPD-major""]",0.005,"2.6261204459745","PASS",""
"T1-respiratory-COPD-minor-CT-est","Table 1","respiratory, COPD-minor, CT-based est","4.8","Table_8_resp.csv","x[[""bhatt_HR""]][x$group == ""COPD-minor""]",0.005,"4.80416352784544","PASS",""
"T1-respiratory-COPD-minor-CT-lo","Table 1","respiratory, COPD-minor, CT-based lo","2.14","Table_8_resp.csv","x[[""bhatt_LCI""]][x$group == ""COPD-minor""]",0.005,"2.14493679539697","PASS",""
"T1-respiratory-COPD-minor-CT-hi","Table 1","respiratory, COPD-minor, CT-based hi","10.76","Table_8_resp.csv","x[[""bhatt_UCI""]][x$group == ""COPD-minor""]",0.005,"10.7602178543489","PASS",""
"T1-respiratory-COPD-minor-ESI-est","Table 1","respiratory, COPD-minor, ESI-based est","5.68","Table_8_resp.csv","x[[""esi_HR""]][x$group == ""COPD-minor""]",0.005,"5.68426399770497","PASS",""
"T1-respiratory-COPD-minor-ESI-lo","Table 1","respiratory, COPD-minor, ESI-based lo","2.43","Table_8_resp.csv","x[[""esi_LCI""]][x$group == ""COPD-minor""]",0.005,"2.42508468755297","PASS",""
"T1-respiratory-COPD-minor-ESI-hi","Table 1","respiratory, COPD-minor, ESI-based hi","13.32","Table_8_resp.csv","x[[""esi_UCI""]][x$group == ""COPD-minor""]",0.005,"13.3235995268306","PASS",""
