"method","outcome","group","HR_CT","HR_ESI","abs_diff"
"baseline","event_resp","AFL-only-NoCOPD",1.653,2.017,-0.365
"baseline","event_resp","COPD-major",13.93,11.853,2.077
"baseline","event_resp","COPD-minor",3.092,2.912,0.18
"baseline","vital_status","AFL-only-NoCOPD",0.897,0.913,-0.016
"baseline","vital_status","COPD-major",2.591,2.395,0.197
"baseline","vital_status","COPD-minor",1.907,1.943,-0.036
"BMI_strat","event_resp","AFL-only-NoCOPD",1.652,1.98,-0.328
"BMI_strat","event_resp","COPD-major",13.979,11.915,2.064
"BMI_strat","event_resp","COPD-minor",3.018,2.82,0.197
"BMI_strat","vital_status","AFL-only-NoCOPD",0.898,0.896,0.001
"BMI_strat","vital_status","COPD-major",2.559,2.368,0.191
"BMI_strat","vital_status","COPD-minor",1.88,1.907,-0.026
"BMI+age_strat","event_resp","AFL-only-NoCOPD",1.63,2.03,-0.4
"BMI+age_strat","event_resp","COPD-major",14.466,12.298,2.167
"BMI+age_strat","event_resp","COPD-minor",3.045,2.831,0.214
"BMI+age_strat","vital_status","AFL-only-NoCOPD",0.918,0.98,-0.062
"BMI+age_strat","vital_status","COPD-major",2.723,2.515,0.208
"BMI+age_strat","vital_status","COPD-minor",1.856,1.857,-0.001
