"method","class_var","outcome","group","HR","LCI","UCI","p"
"BMI+age_strat","bhatt_grp","vital_status","AFL-only-NoCOPD",0.918289506664504,0.635797863966925,1.32629514164899,0.649501059186477
"BMI+age_strat","bhatt_grp","vital_status","COPD-minor",1.85594771950188,1.59570129255887,2.15863830754974,1.03746626188908e-15
"BMI+age_strat","bhatt_grp","vital_status","COPD-major",2.72313097444501,2.47073215976037,3.00131370965805,1.2970727516252e-90
"BMI+age_strat","esi_grp","vital_status","AFL-only-NoCOPD",0.98011098709609,0.613154470849131,1.56668114267544,0.933099636405433
"BMI+age_strat","esi_grp","vital_status","COPD-minor",1.85737645519116,1.55234295839371,2.22234866183708,1.33809409345382e-11
"BMI+age_strat","esi_grp","vital_status","COPD-major",2.51485689103216,2.29274003104987,2.75849206483121,4.34497458557464e-85
"BMI+age_strat","bhatt_grp","event_resp","AFL-only-NoCOPD",1.62950325473597,0.65200649864964,4.07247606073625,0.296120386337962
"BMI+age_strat","bhatt_grp","event_resp","COPD-minor",3.04476298070503,1.98037642360357,4.68122196274315,3.90691040275391e-07
"BMI+age_strat","bhatt_grp","event_resp","COPD-major",14.4658135230383,10.9996989704419,19.0241352463951,1.81344492011951e-81
"BMI+age_strat","esi_grp","event_resp","AFL-only-NoCOPD",2.02966012471884,0.73997278004683,5.56712399828137,0.169129167622833
"BMI+age_strat","esi_grp","event_resp","COPD-minor",2.8311473644406,1.71577136488334,4.67159877080939,4.64662537353904e-05
"BMI+age_strat","esi_grp","event_resp","COPD-major",12.2984987516198,9.60248295953149,15.751454304166,6.53510666615263e-88
"BMI+age_strat","discord","vital_status","Both-COPD",1.99077094907806,1.63495133451861,2.42402870838969,7.2159725486038e-12
"BMI+age_strat","discord","vital_status","Bhatt-only-COPD",1.54094926197757,1.25389738898494,1.89371526637555,3.93652096873503e-05
"BMI+age_strat","discord","vital_status","ESI-only-COPD",1.30822162694557,0.794030653704364,2.1553876002441,0.291592579312244
"BMI+age_strat","discord","event_resp","Both-COPD",3.1382147219913,1.75263417864545,5.61919410297842,0.000119145056770478
"BMI+age_strat","discord","event_resp","Bhatt-only-COPD",2.61607509293425,1.4856236503909,4.6067177848644,0.00086515940902789
"BMI+age_strat","discord","event_resp","ESI-only-COPD",3.35244739045295,1.03798197813369,10.8276480155874,0.0431470542667245
