"method","class_var","outcome","group","HR","LCI","UCI","p"
"baseline","bhatt_grp","vital_status","AFL-only-NoCOPD",0.89740826456515,0.62154702585165,1.2957050067231,0.563528717676531
"baseline","bhatt_grp","vital_status","COPD-minor",1.90733132531712,1.6403236753726,2.21780179067987,4.79323073117483e-17
"baseline","bhatt_grp","vital_status","COPD-major",2.59118188534158,2.35133585221188,2.85549321106399,2.91495457303077e-82
"baseline","esi_grp","vital_status","AFL-only-NoCOPD",0.91334211919344,0.571493698778219,1.45967283362208,0.704745496493774
"baseline","esi_grp","vital_status","COPD-minor",1.94348500668499,1.62525215016161,2.32402951802512,3.26236494505673e-13
"baseline","esi_grp","vital_status","COPD-major",2.39461796503384,2.18352330611971,2.6261204459745,8.80443562546924e-77
"baseline","bhatt_grp","event_resp","AFL-only-NoCOPD",1.65287059742008,0.661560708072879,4.12960016893092,0.282097911630618
"baseline","bhatt_grp","event_resp","COPD-minor",3.09220764873444,2.01239487037388,4.75142740803912,2.59384396857008e-07
"baseline","bhatt_grp","event_resp","COPD-major",13.9296673348725,10.5929315576353,18.3174630180967,2.7774830541384e-79
"baseline","esi_grp","event_resp","AFL-only-NoCOPD",2.01749979633591,0.735800497576682,5.53180575661577,0.172626047562342
"baseline","esi_grp","event_resp","COPD-minor",2.91200415815007,1.76661998889417,4.79999562463418,2.76894924836908e-05
"baseline","esi_grp","event_resp","COPD-major",11.8527584883756,9.25567435856467,15.1785681238625,1.73047800323627e-85
"baseline","discord","vital_status","Both-COPD",2.02359782343009,1.66297237383793,2.4624270465422,1.93723779855914e-12
"baseline","discord","vital_status","Bhatt-only-COPD",1.53030082691635,1.24547288076706,1.88026624828523,5.14294156554038e-05
"baseline","discord","vital_status","ESI-only-COPD",1.25714150870612,0.763654239167517,2.06952923437543,0.368241385864461
"baseline","discord","event_resp","Both-COPD",3.0525072184317,1.70532654262085,5.46393906721082,0.000172083625136845
"baseline","discord","event_resp","Bhatt-only-COPD",2.47648335068052,1.40698834057846,4.35893433464866,0.00166864267122741
"baseline","discord","event_resp","ESI-only-COPD",2.89322352361297,0.897368349163682,9.32810073520947,0.0752950875969747
"BMI_strat","bhatt_grp","vital_status","AFL-only-NoCOPD",0.897771072637568,0.621785881334488,1.29625474469599,0.56500732500645
"BMI_strat","bhatt_grp","vital_status","COPD-minor",1.88035019247712,1.61706583862566,2.18650147810538,2.31177637075857e-16
"BMI_strat","bhatt_grp","vital_status","COPD-major",2.55852365322102,2.32156248824116,2.81967137100443,4.86906696860858e-80
"BMI_strat","esi_grp","vital_status","AFL-only-NoCOPD",0.896461800275829,0.560879397052499,1.43282809740747,0.647804053945332
"BMI_strat","esi_grp","vital_status","COPD-minor",1.9067241256332,1.5945064956439,2.28007656362889,1.50863600111769e-12
"BMI_strat","esi_grp","vital_status","COPD-major",2.36789553999657,2.15907767620494,2.59690948136293,8.22990177498629e-75
"BMI_strat","bhatt_grp","event_resp","AFL-only-NoCOPD",1.65182244632042,0.661139769231841,4.12699026915016,0.282706978220762
"BMI_strat","bhatt_grp","event_resp","COPD-minor",3.01751141893775,1.96362678013551,4.63701924191081,4.69706717353819e-07
"BMI_strat","bhatt_grp","event_resp","COPD-major",13.9786044921633,10.6311937883787,18.3800039241055,1.51891689946105e-79
"BMI_strat","esi_grp","event_resp","AFL-only-NoCOPD",1.97969665670118,0.721976010850164,5.42843362335376,0.184511721598885
"BMI_strat","esi_grp","event_resp","COPD-minor",2.82035258043995,1.71092854557889,4.64916474656335,4.78594449742455e-05
"BMI_strat","esi_grp","event_resp","COPD-major",11.9149937641577,9.30546487895006,15.2563120968907,6.26194946274985e-86
"BMI_strat","discord","vital_status","Both-COPD",2.03602039925653,1.67322554530482,2.47747775416228,1.23853356082441e-12
"BMI_strat","discord","vital_status","Bhatt-only-COPD",1.53577204857971,1.24974893222858,1.8872556914234,4.49978795517072e-05
"BMI_strat","discord","vital_status","ESI-only-COPD",1.27324978090094,0.773475647289741,2.09594834723607,0.342151501173994
"BMI_strat","discord","event_resp","Both-COPD",3.16720339233392,1.76913381506124,5.67010660415434,0.000104463955123581
"BMI_strat","discord","event_resp","Bhatt-only-COPD",2.57995745449559,1.46463312609272,4.54460598249912,0.00103437701216177
"BMI_strat","discord","event_resp","ESI-only-COPD",3.0392125763201,0.943618775450031,9.78871269242923,0.0625020351166805
